Study Id,Type of Study,Category,Region,Product,Indication,Institution / Vendor,Activity Title,Priority,Phase,Status,Rationale,Strategic Imperative,CSF Objective,Audience,Target Deliverable,Drug Supply,Patient,Enrolled,Award Year,Study Start,Study End,Readout,Program Owner,Total Budget,Allocated Budget,Allocation %,Program Lead,PO #,2025 Budget CS,2025 Budget,2026 Budget CS,2026 Cost,2027 Budget CS,2027 Cost,Recommendation,Comments,Ranking
S1,Clinical Trial,Oncology,US,CAR-N Alpha,Lymphoma,ABC Labs,Trial Setup,High,Phase 2,At Risk,NA,Growth,Improve survival,Doctors,Protocol Ready,Yes,120,80,2025,1/5/2025,12/20/2025,1/25/2026,John,2000000,1500000,75%,Meena,PO123,500000,600000,700000,800000,900000,1000000,Continue,Good progress,1
S2,Observational Study,Oncology,EU,CAR-N Alpha,Leukemia,XYZ CRO,Data Collection,Medium,Phase 1,At Risk,Low enrollment,Expansion,Data accuracy,Researchers,Interim Report,Yes,90,40,2025,4/5/2025,3/20/2026,12/25/2025,Priya,1500000,1000000,65%,Arjun,PO124,400000,500000,600000,700000,800000,900000,Monitor,Needs attention,2
S3,Real World Study,Immunology,APAC,ViroX,Arthritis,MediCorp,Analysis,Low,Phase 3,Completed,NA,Innovation,Reduce pain,Patients,Final Report,No,200,150,2024,7/5/2024,6/20/2025,9/25/2025,Ravi,3000000,2200000,70%,Kavya,PO125,800000,900000,1000000,1100000,1200000,1300000,Continue,Stable,1
S4,Interventional Study,Oncology,US,ViroX,Myeloma,HealthOrg,Recruitment,High,Phase 2,Off Track,Budget issues,Growth,Faster trials,Doctors,Recruitment Plan,Yes,150,60,2025,1/5/2025,9/20/2025,8/25/2025,Anjali,2500000,1800000,60%,Suresh,PO126,600000,700000,800000,900000,1000000,1100000,Reassess,Budget constraint,3
S5,Retrospective Study,Virology,EU,ViroX,COVID,BioLabs,Reporting,Medium,Phase 1,On Track,NA,Compliance,Regulatory approval,Govt,Final Submission,Yes,300,250,2024,10/5/2024,6/20/2025,5/25/2025,Kumar,1200000,900000,55%,Divya,PO127,300000,400000,500000,600000,700000,800000,Continue,Smooth,2
S6,Clinical Trial,Oncology,APAC,CAR-N Delta,Lymphoma,ABC Labs,Monitoring,High,Phase 2,On Track,NA,Growth,Patient safety,Doctors,Monitoring Report,Yes,130,90,2025,4/5/2025,12/20/2025,3/25/2026,Rahul,2100000,1600000,72%,Meena,PO128,520000,610000,720000,820000,910000,1020000,Continue,Stable,1
S7,Observational Study,Immunology,EU,ViroY,Psoriasis,MediCorp,Trial Design,Medium,Phase 1,At Risk,Delay in setup,Innovation,Design quality,Researchers,Design Doc,No,110,50,2025,7/5/2025,6/20/2026,5/25/2026,Arjun,1400000,1000000,68%,Kavya,PO129,410000,510000,620000,710000,820000,910000,Monitor,Delay observed,2
S8,Real World Study,Virology,US,ViroY,Flu,BioLabs,Execution,Low,Phase 2,On Track,NA,Compliance,Accuracy,Doctors,Execution Plan,Yes,220,180,2024,4/5/2024,3/20/2025,6/25/2025,Kumar,1800000,1300000,58%,Divya,PO130,450000,550000,650000,750000,850000,950000,Continue,Good,1
S9,Interventional Study,Oncology,EU,CAR-N Epsilon,Leukemia,XYZ CRO,Validation,High,Phase 3,Completed,NA,Growth,Outcome success,Doctors,Validation Report,Yes,170,140,2025,1/5/2025,12/20/2025,3/25/2026,Priya,2600000,2000000,77%,Suresh,PO131,620000,720000,820000,920000,1020000,1120000,Continue,Strong,1
S10,Retrospective Study,Immunology,US,CAR-N Epsilon,Asthma,MediCorp,Testing,Medium,Phase 2,At Risk,Low data quality,Innovation,Improve accuracy,Researchers,Test Report,No,140,70,2025,4/5/2025,3/20/2026,1/25/2026,Ravi,1900000,1400000,63%,Kavya,PO132,480000,580000,680000,780000,880000,980000,Monitor,Quality issue,2
